iter	Passed	Remaining
615	1094	682
616	1096	680
617	1097	678
618	1099	676
619	1100	674
620	1101	672
621	1103	670
622	1104	668
623	1106	666
624	1107	664
625	1109	662
626	1110	660
627	1112	659
628	1114	657
629	1115	655
630	1117	653
631	1118	651
632	1120	649
633	1121	647
634	1122	645
635	1124	643
636	1125	641
637	1127	639
638	1128	637
639	1130	635
640	1131	633
641	1133	631
642	1134	629
643	1135	627
644	1137	626
645	1138	624
646	1140	622
647	1141	620
648	1143	618
649	1144	616
650	1146	614
651	1147	612
652	1149	610
653	1150	608
654	1151	606
655	1153	604
656	1154	602
657	1156	600
658	1157	599
659	1159	597
660	1160	595
661	1162	593
662	1163	591
663	1165	589
664	1166	587
665	1168	585
666	1169	584
667	1171	582
668	1172	580
669	1174	578
670	1175	576
671	1176	574
672	1178	572
673	1179	570
674	1181	568
675	1182	566
676	1183	564
677	1185	562
678	1186	561
679	1188	559
680	1189	557
681	1191	555
682	1192	553
683	1194	551
684	1195	549
685	1197	548
686	1199	546
687	1200	544
688	1201	542
689	1203	540
690	1205	538
691	1206	537
692	1208	535
693	1209	533
694	1211	531
695	1212	529
696	1214	527
697	1216	526
698	1217	524
699	1219	522
700	1221	520
701	1222	519
702	1224	517
703	1226	515
704	1227	513
705	1229	511
706	1230	510
707	1232	508
708	1233	506
709	1235	504
710	1236	502
711	1238	500
712	1239	499
713	1241	497
714	1243	495
715	1244	493
716	1246	491
717	1247	490
718	1249	488
719	1250	486
720	1252	484
721	1253	482
722	1255	480
723	1256	479
724	1258	477
725	1259	475
726	1261	473
727	1263	471
728	1264	470
729	1266	468
730	1268	466
731	1269	464
732	1271	463
733	1272	461
734	1273	459
735	1275	457
736	1277	455
737	1278	453
738	1280	452
739	1281	450
740	1283	448
741	1285	446
742	1286	445
743	1288	443
744	1290	441
745	1291	439
746	1293	438
747	1294	436
748	1296	434
749	1298	432
750	1299	430
751	1301	429
752	1302	427
753	1304	425
754	1305	423
755	1307	421
756	1309	420
757	1310	418
758	1311	416
759	1313	414
760	1314	412
761	1316	411
762	1317	409
763	1319	407
764	1321	405
765	1322	404
766	1324	402
767	1325	400
768	1327	398
769	1328	396
770	1330	395
771	1331	393
772	1333	391
773	1334	389
774	1336	387
775	1337	386
776	1339	384
777	1340	382
778	1342	380
779	1343	378
780	1345	377
781	1346	375
782	1347	373
783	1349	371
784	1350	369
785	1352	368
786	1353	366
787	1355	364
788	1356	362
789	1358	360
790	1359	359
791	1360	357
792	1362	355
793	1363	353
794	1365	352
795	1366	350
796	1368	348
797	1369	346
798	1371	344
799	1372	343
800	1374	341
801	1375	339
802	1377	337
803	1378	336
804	1380	334
805	1381	332
806	1383	330
807	1384	329
808	1386	327
809	1387	325
810	1389	323
811	1390	321
812	1392	320
813	1393	318
814	1394	316
815	1396	314
816	1397	313
817	1399	311
818	1400	309
819	1402	307
820	1403	306
821	1404	304
822	1406	302
823	1407	300
824	1409	298
825	1410	297
826	1412	295
827	1413	293
828	1415	291
829	1416	290
830	1418	288
831	1419	286
832	1421	284
833	1422	283
834	1424	281
835	1425	279
836	1427	277
837	1428	276
838	1430	274
839	1431	272
840	1432	270
841	1434	269
842	1435	267
843	1437	265
844	1438	263
845	1440	262
846	1441	260
847	1443	258
848	1444	256
849	1446	255
850	1447	253
851	1449	251
852	1450	249
853	1451	248
854	1453	246
855	1454	244
856	1456	242
857	1457	241
858	1459	239
859	1460	237
860	1461	236
861	1463	234
862	1464	232
863	1466	230
864	1467	229
865	1469	227
866	1470	225
867	1472	223
868	1473	222
869	1475	220
870	1476	218
871	1478	217
872	1479	215
873	1481	213
874	1482	211
875	1484	210
876	1485	208
877	1487	206
